id;clinic_name;address;inn;region_name;user_id
4;КОДКБ;пр. Конституции, 38;4501024659;Курганская область;2
5;ЖД Курган;ул.Проходная,д.6;4501109694;Курганская область;2
6;ПККБ;г. Пермь, ул. Луначарского, 95 Б;5902290473;Пермский край;2
7;Краевой кардиодиспансер;г. Пермь, ул. Сибирская, 84а;5902292287;Пермский край;2
8;ФЦССХ;г. Пермь, ул. Маршала Жукова, 35;5902293788;Пермский край;2
9;ГКБ №2;г. Пермь, ул. Пермская, 230;5903004076;Пермский край;2
10;ЖД Пермь2;г. Пермь, ул. Василия Каменского, 1;5903017780;Пермский край;2
11;ГБ №4;г. Пермь, ул. КИМ, 2;5903087530;Пермский край;2
12;ГКБ №4;г. Пермь, ул. КИМ, 2;5903087530;Пермский край;2
13;ГКБ №3;г. Пермь, ул. Серпуховская, 11а, 4 этаж;5904081524;Пермский край;2
14;КМСЧ №1;г. Пермь, Б-р Гагарина, 28;5904101322;Пермский край;2
15;ГКБ №1;г. Пермь, ул. Никулина, 10;5904199565;Пермский край;2
16;ГДКБ №15;г. Пермь, ул. Баумана, 17 А;5905000430;Пермский край;2
17;ПКДКБ;г. Пермь, ул. Баумана, 22;5905017507;Пермский край;2
18;МСЧ №9;г. Пермь, ул. Братьев Игнатовых, 2;5905021126;Пермский край;2
19;ГБУЗ СО Богдановичская ЦРБ;г. Богданович, ул. Октябрьская, 87;6605003103;Свердловская область;2
20;ГБУЗ Камышловская ЦРБ;г. Камышлов, Карла Маркса, 23;6613002978;Свердловская область;2
21;НИИ ОММ;г. Екатеринбург, ул. Репина, 1;6658021459;Свердловская область;2
22;ГКБ №40;г. Екатеринбург, ул. Волгоградская, 189;6658027450;Свердловская область;2
23;СОКБ №1;г. Екатеринбург, ул. Волгоградская, 185;6658081585;Свердловская область;2
24;"ГАУЗ ""Областной специализированный центр медицинской реабилитации Озеро Чусовское""";г. Екатеринбург, пос. Чусовское озеро, ул. Мира, 1;6658342646;Свердловская область;2
25;ДКБ №9;г. Екатеринбург, ул. Решетская, 51;6659007680;Свердловская область;2
26;ДКБ №10;г. Екатеринбург, ул. Комсомольская, 9;6660055529;Свердловская область;2
27;ОДКБ №1;г. Екатеринбург, ул. Серафимы Дерябиной, 32;6661002199;Свердловская область;2
28;ГБУС СО ЦГБ №1;г. Нижний тагил, ул. Максарёва, 5. 2 этаж гл корпуса;6667003713;Свердловская область;2
29;Демидовская ЦГБ;г. Нижний тагил, ул. Горошникова, 37;6668012911;Свердловская область;2
30;ГБУЗ ГБ №4;г. Нижний тагил, ул. Больничный городок УМТК, хирург. корпус №3;6669005113;Свердловская область;2
31;Медхолдинг ФОТЕК;г. Екатеринбург, ул. Ботаническая, 19;6670298129;Свердловская область;2
32;Клиника Павлова;г. Екатеринбург, ул. Буторина, 4;6672195009;Свердловская область;2
33;ГБУЗ Белоярская ЦРБ;пос. Белоярский, ул. Юбилейная, 13а;6683005482;Свердловская область;2
34;Асбестовская ЦРБ ;г. Асбест, ул. Больничный городок, 5;6683005789;Свердловская область;2
35;МСЧ Нефтянник;г. Тюмень, ул. Червишевский тракт 4 км, 1;7202086042;Тюменская область;2
36;ТОНБ;г. Тюмень, ул. Орджоникидзе, 55;7202181306;Тюменская область;2
37;ОБИЛ;г. Тюмень, ул. Червишевский тракт 4 км, 7;7203000249;Тюменская область;2
38;ОБИЛ Кот;г. Тюмень, ул. Котовского, 55;7203000249;Тюменская область;2
39;Тюм ОКБ №2;г. Тюмень, ул. Мельникайте, 75;7203116211;Тюменская область;2
40;НУЗ «Отделенческая больница на ст. Тюмень ОАО «РЖД»;г. Тюмень, ул. Магнитогорская, 8;7204084594;Тюменская область;2
41;Медицинский центр Миромед;г. Тюмень, ул. Орловская, 54;7204145208;Тюменская область;2
42;ФГБУ Нейрохирургия;г. Тюмень, ул. Червишевский тракт 4 км, 5;7204152364;Тюменская область;2
43;Центр Реабилитации Сибирь;г. Тюмень, ул. Червишевский тракт 19 км, 1;7224009884;Тюменская область;2
44;Санаторий Жемчужный;г. Тюмень, Ялуторовский тракт 27 км, стр. 1;7224030861;Тюменская область;2
45;ДГКБ №8;г. Челябинск, ул. Дружбы, 2;7450006213;Челябинская область;2
46;Санаторий Увильды;г. Челябинск, Челябинская обл, пос. Увильды. N 55.531151, E 60.569155;7426005988;Челябинская область;2
47;Санаторий Урал;г. Челябинск, Челябинская обл, Увельский р-н, с. Хомутинино;7440001262;Челябинская область;2
48;МНГРСК Роддом №2;г. Магнитогорск, ул. Гагарина, 36;7444063284;Челябинская область;2
49;МНГРСК ГБ №3;г. Магнитогорск, ул. Советская, 88;7446012253;Челябинская область;2
50;Чел ОКБ №3;г. Челябинск, ул. Проспект Победы, 287;7447041747;Челябинская область;2
51;Чел ОКБ №2;г. Челябинск, ул. Гагарина, 18;7449005303;Челябинская область;2
52;ГКБ №9;г. Челябинск, ул. Электровозная пятая, 5;7449011473;Челябинская область;2
53;МБУЗ ГКБ №6;г. Челябинск, ул. Румянцева, 28;7450024727;Челябинская область;2
54;"Областной центр восстановления и реабилитации ""Огонек""";г. Челябинск, ул. Приборостроителей, 18а;7450025640;Челябинская область;2
55;Областной перинатальный центр;г. Челябинск, ул. Тимирязева, 17;7451002162;Челябинская область;2
56;Санаторий Изумруд;г. Челябинск, ул. Шахтостроевская, 32;7451016493;Челябинская область;2
57;РЖД Бца;г. Челябинск, ул. Доватора, 23;7451207988;Челябинская область;2
58;ГКБ №8;г. Челябинск, ул. Горького, 28;7452000312;Челябинская область;2
59;ЧОКБ;г. Челябинск, ул. Воровского, 70;7453013642;Челябинская область;2
60;ГЛПУЗ Челябинская ОДКБ;г. Челябинск, ул. Блюхера, 42а;7453014011;Челябинская область;2
61;ОДКБ;г. Челябинск, ул. Блюхера, 42а;7453014011;Челябинская область;2
62;Клиника ЮУГМУ;г. Челябинск, ул. Черкасская, 2;7453042876;Челябинская область;2
63;Неврологическая клиника доктора Бубновой И.Д.;г. Челябинск, ул. Пушкина, 12;7453145575;Челябинская область;2
64;Сургут ОКБ;г. Сургут, ул. Энергетиков, 14;8601009620;Ханты-Мансийский АО;2
65;ГКБ;г. Сургут, ул. Губкина, 1 корп 1;8602002151;Ханты-Мансийский АО;2
66;Сургутская травматологическая больница;г. Сургут, ул. Нефтеюганское шоссе, 20;8602015224;Ханты-Мансийский АО;2
